,chromosome,start,stop,gene,score,strand,thickStart,thickEnd,gene_id
181,chr2L,1147774,1147834,CG4749_1,900,+,1147823,1147834,CG4749
182,chr2L,1150658,1150718,Tfb4_1,900,-,1150658,1150669,Tfb4
183,chr2L,1150727,1150787,Vps29_1,900,+,1150776,1150787,Vps29
184,chr2L,1156284,1156344,capt_1,900,-,1156284,1156295,capt
186,chr2L,1158612,1158672,Tango14_1,900,+,1158661,1158672,Tango14
187,chr2L,1163870,1163930,CG5080_1,900,-,1163870,1163881,CG5080
188,chr2L,1164425,1164485,IntS14_1,900,+,1164474,1164485,IntS14
189,chr2L,1166482,1166542,CG14341_1,900,+,1166531,1166542,CG14341
192,chr2L,1170159,1170219,CG31922_1,900,+,1170208,1170219,CG31922
194,chr2L,1172755,1172815,CG5118_1,900,-,1172755,1172766,CG5118
195,chr2L,1172998,1173058,CG4887_1,900,+,1173047,1173058,CG4887
196,chr2L,1177647,1177707,CG4896_1,900,+,1177696,1177707,CG4896
198,chr2L,1184025,1184085,Tgt_1,900,+,1184074,1184085,Tgt
201,chr2L,1199213,1199273,CG5139_1,900,-,1199213,1199224,CG5139
202,chr2L,1199372,1199432,CG43348_1,900,+,1199421,1199432,CG43348
203,chr2L,1200161,1200221,CG43349_1,900,+,1200210,1200221,CG43349
204,chr2L,1200781,1200841,CG5011_1,900,+,1200830,1200841,CG5011
205,chr2L,1204170,1204230,CG14342_1,900,+,1204219,1204230,CG14342
206,chr2L,1219249,1219309,CG42329_1,900,+,1219298,1219309,CG42329
207,chr2L,1239988,1240048,CG5397_1,900,+,1240037,1240048,CG5397
208,chr2L,1256353,1256413,robo3_1,900,+,1256402,1256413,robo3
209,chr2L,1329111,1329171,a5_1,900,+,1329160,1329171,a5
210,chr2L,1334113,1334173,CG5440_1,900,+,1334162,1334173,CG5440
211,chr2L,1342121,1342181,CG33923_1,900,-,1342121,1342132,CG33923
212,chr2L,1344415,1344475,Cdlc2_1,900,+,1344464,1344475,Cdlc2
213,chr2L,1352869,1352929,CG5556_1,900,-,1352869,1352880,CG5556
214,chr2L,1354081,1354141,CG5561_1,900,-,1354081,1354092,CG5561
215,chr2L,1354930,1354990,CG31924_1,900,-,1354930,1354941,CG31924
216,chr2L,1355893,1355953,CG5565_1,900,-,1355893,1355904,CG5565
217,chr2L,1359795,1359855,CG31659_1,900,-,1359795,1359806,CG31659
218,chr2L,1361717,1361777,NLaz_1,900,-,1361717,1361728,NLaz
219,chr2L,1368049,1368109,CG14346_1,900,+,1368098,1368109,CG14346
220,chr2L,1420438,1420498,lea_1,900,-,1420438,1420449,lea
221,chr2L,1428434,1428494,CG43401_1,900,+,1428483,1428494,CG43401
222,chr2L,1442676,1442736,CG43402_1,900,+,1442725,1442736,CG43402
223,chr2L,1492245,1492305,CG31928_1,900,+,1492294,1492305,CG31928
224,chr2L,1494021,1494081,CG33128_1,900,+,1494070,1494081,CG33128
225,chr2L,1495676,1495736,CG31926_1,900,+,1495725,1495736,CG31926
226,chr2L,1497193,1497253,CG31661_1,900,+,1497242,1497253,CG31661
229,chr2L,1502806,1502866,CG7420_1,900,-,1502806,1502817,CG7420
230,chr2L,1517480,1517540,CG18132_1,900,-,1517480,1517491,CG18132
231,chr2L,1518134,1518194,halo_1,900,-,1518134,1518145,halo
232,chr2L,1555080,1555140,haf_1,900,+,1555129,1555140,haf
233,chr2L,1587154,1587214,CG10869_1,900,-,1587154,1587165,CG10869
234,chr2L,1611126,1611186,CG31935_1,900,-,1611126,1611137,CG31935
235,chr2L,1611379,1611439,CG14352_1,900,+,1611428,1611439,CG14352
236,chr2L,1614138,1614198,CG7361_1,900,-,1614138,1614149,CG7361
239,chr2L,1704854,1704914,CAPB_1,900,+,1704903,1704914,CAPB
240,chr2L,1705020,1705080,cpb_1,900,+,1705069,1705080,cpb
241,chr2L,1710405,1710465,CG17660_1,900,-,1710405,1710416,CG17660
242,chr2L,1710438,1710498,mRpL48_1,900,+,1710487,1710498,mRpL48
243,chr2L,1715833,1715893,frtz_1,900,-,1715833,1715844,frtz
244,chr2L,1724363,1724423,Rim2_1,900,-,1724363,1724374,Rim2
247,chr2L,1728704,1728764,Rrp40_1,900,+,1728753,1728764,Rrp40
249,chr2L,1729867,1729927,CG31937_1,900,+,1729916,1729927,CG31937
250,chr2L,1732313,1732373,CG17652_1,900,-,1732313,1732324,CG17652
253,chr2L,1752105,1752165,CG17712_1,900,-,1752105,1752116,CG17712
254,chr2L,1752281,1752341,CG17648_1,900,+,1752330,1752341,CG17648
255,chr2L,1756460,1756520,Gr22f_1,900,-,1756460,1756471,Gr22f
256,chr2L,1759083,1759143,CG17650_1,900,-,1759083,1759094,CG17650
257,chr2L,1823305,1823365,CG31933_1,900,-,1823305,1823316,CG31933
258,chr2L,1826509,1826569,CG31664_1,900,-,1826509,1826520,CG31664
259,chr2L,1832518,1832578,c-cup_1,900,-,1832518,1832529,c-cup
260,chr2L,1836490,1836550,wry_1,900,+,1836539,1836550,wry
261,chr2L,1869803,1869863,CG7295_1,900,+,1869852,1869863,CG7295
264,chr2L,1883195,1883255,CG15358_1,900,-,1883195,1883206,CG15358
268,chr2L,1945696,1945756,CG15357_1,900,-,1945696,1945707,CG15357
269,chr2L,1946736,1946796,CG33673_1,900,-,1946736,1946747,CG33673
274,chr2L,1980758,1980818,CG15356_1,900,-,1980758,1980769,CG15356
275,chr2L,1981106,1981166,CG15362_1,900,+,1981155,1981166,CG15362
276,chr2L,1982173,1982233,CG7289_1,900,+,1982222,1982233,CG7289
277,chr2L,1986953,1987013,Got2_1,900,-,1986953,1986964,Got2
278,chr2L,1987737,1987797,CG4233_1,900,-,1987737,1987748,CG4233
279,chr2L,1988242,1988302,Npc2a_1,900,+,1988291,1988302,Npc2a
280,chr2L,1992162,1992222,Obp22a_1,900,-,1992162,1992173,Obp22a
281,chr2L,2006297,2006357,CG33543_1,900,-,2006297,2006308,CG33543
282,chr2L,2007182,2007242,CG15353_1,900,-,2007182,2007193,CG15353
283,chr2L,2008410,2008470,Nplp4_1,900,+,2008459,2008470,Nplp4
287,chr2L,2036031,2036091,CG42296_1,900,-,2036031,2036042,CG42296
288,chr2L,2037268,2037328,lectin-22C_1,900,-,2037268,2037279,lectin-22C
292,chr2L,2045453,2045513,Kebab_1,900,+,2045502,2045513,Kebab
293,chr2L,2079931,2079991,CG12674_1,900,+,2079980,2079991,CG12674
294,chr2L,2109880,2109940,dpr3_1,900,-,2109880,2109891,dpr3
295,chr2L,2129222,2129282,CG4259_1,900,-,2129222,2129233,CG4259
296,chr2L,2130767,2130827,GlyP_1,900,+,2130816,2130827,GlyP
297,chr2L,2145161,2145221,tho2_1,900,-,2145161,2145172,tho2
298,chr2L,2147269,2147329,CG11723_1,900,-,2147269,2147280,CG11723
299,chr2L,2147518,2147578,CG7261_1,900,+,2147567,2147578,CG7261
300,chr2L,2151711,2151771,AIF_1,900,+,2151760,2151771,AIF
301,chr2L,2155707,2155767,CG15382_1,900,+,2155756,2155767,CG15382
304,chr2L,2192362,2192422,CG10874_1,900,-,2192362,2192373,CG10874
307,chr2L,2206218,2206278,CG31668_1,900,-,2206218,2206229,CG31668
308,chr2L,2212594,2212654,CG15385_1,900,-,2212594,2212605,CG15385
309,chr2L,2214024,2214084,Uch_1,900,-,2214024,2214035,Uch
310,chr2L,2214223,2214283,CG34174_1,900,+,2214272,2214283,CG34174
311,chr2L,2216293,2216353,CG10880_1,900,-,2216293,2216304,CG10880
312,chr2L,2217215,2217275,CG15386_1,900,-,2217215,2217226,CG15386
313,chr2L,2217240,2217300,mio_1,900,+,2217289,2217300,mio
318,chr2L,2226283,2226343,CG15387_1,900,-,2226283,2226294,CG15387
319,chr2L,2226473,2226533,sau_1,900,+,2226522,2226533,sau
320,chr2L,2236828,2236888,CG10882_1,900,-,2236828,2236839,CG10882
321,chr2L,2238250,2238310,Tengl3_1,900,-,2238250,2238261,Tengl3
322,chr2L,2239398,2239458,Tengl2_1,900,-,2239398,2239409,Tengl2
323,chr2L,2240586,2240646,Tengl1_1,900,-,2240586,2240597,Tengl1
324,chr2L,2242329,2242389,CG4267_1,900,+,2242378,2242389,CG4267
325,chr2L,2251284,2251344,Ser12_1,900,-,2251284,2251295,Ser12
326,chr2L,2252344,2252404,CG17239_1,900,-,2252344,2252355,CG17239
327,chr2L,2252995,2253055,CG17234_1,900,+,2253044,2253055,CG17234
328,chr2L,2255066,2255126,Send1_1,900,-,2255066,2255077,Send1
329,chr2L,2263440,2263500,CG4270_1,900,+,2263489,2263500,CG4270
330,chr2L,2265376,2265436,CG34049_1,900,-,2265376,2265387,CG34049
331,chr2L,2269130,2269190,CG17242_1,900,-,2269130,2269141,CG17242
332,chr2L,2285123,2285183,CG4271_1,900,+,2285172,2285183,CG4271
333,chr2L,2286864,2286924,CG31681_1,900,-,2286864,2286875,CG31681
334,chr2L,2287893,2287953,CG42658_1,900,-,2287893,2287904,CG42658
335,chr2L,2289382,2289442,CG17237_1,900,-,2289382,2289393,CG17237
336,chr2L,2290694,2290754,robl22E_1,900,-,2290694,2290705,robl22E
337,chr2L,2300046,2300106,CG31949_1,900,+,2300095,2300106,CG31949
338,chr2L,2307892,2307952,CG16995_1,900,+,2307941,2307952,CG16995
339,chr2L,2311631,2311691,eys_1,900,+,2311680,2311691,eys
340,chr2L,2357338,2357398,CG9967_1,900,-,2357338,2357349,CG9967
345,chr2L,2364897,2364957,CG3664_1,900,-,2364897,2364908,CG3664
349,chr2L,2371513,2371573,CG3597_1,900,-,2371513,2371524,CG3597
353,chr2L,2374668,2374728,CG15390_1,900,+,2374717,2374728,CG15390
357,chr2L,2381074,2381134,Eogt_1,900,+,2381123,2381134,Eogt
358,chr2L,2383145,2383205,CG9870_1,900,+,2383194,2383205,CG9870
359,chr2L,2385770,2385830,CG3557_1,900,-,2385770,2385781,CG3557
360,chr2L,2390701,2390761,CG43750_1,900,-,2390701,2390712,CG43750
364,chr2L,2415311,2415371,CG18641_1,900,-,2415311,2415322,CG18641
365,chr2L,2416666,2416726,CG31948_1,900,-,2416666,2416677,CG31948
366,chr2L,2417975,2418035,CG34448_1,900,-,2417975,2417986,CG34448
369,chr2L,2420784,2420844,CG9886_1,900,+,2420833,2420844,CG9886
370,chr2L,2424758,2424818,CG44139_1,900,+,2424807,2424818,CG44139
375,chr2L,2492646,2492706,Slh_1,900,-,2492646,2492657,Slh
376,chr2L,2492905,2492965,oaf_1,900,+,2492954,2492965,oaf
377,chr2L,2518061,2518121,CG3528_1,900,-,2518061,2518072,CG3528
378,chr2L,2552824,2552884,CG3515_1,900,-,2552824,2552835,CG3515
379,chr2L,2564816,2564876,Cyp309a1_1,900,-,2564816,2564827,Cyp309a1
380,chr2L,2572955,2573015,Cyp309a2_1,900,-,2572955,2572966,Cyp309a2
381,chr2L,2575057,2575117,Rad1_1,900,-,2575057,2575068,Rad1
384,chr2L,2577645,2577705,Elba2_1,900,+,2577694,2577705,Elba2
385,chr2L,2580027,2580087,CG3214_1,900,-,2580027,2580038,CG3214
386,chr2L,2580272,2580332,Arpc5_1,900,+,2580321,2580332,Arpc5
387,chr2L,2585417,2585477,Drp1_1,900,-,2585417,2585428,Drp1
390,chr2L,2610037,2610097,CG15395_1,900,+,2610086,2610097,CG15395
391,chr2L,2647730,2647790,CG9962_1,900,-,2647730,2647741,CG9962
392,chr2L,2647836,2647896,CG43851_1,900,+,2647885,2647896,CG43851
393,chr2L,2652371,2652431,CG33125_1,900,-,2652371,2652382,CG33125
394,chr2L,2653035,2653095,Prosbeta4R1_1,900,+,2653084,2653095,Prosbeta4R1
395,chr2L,2655319,2655379,Prosbeta4R2_1,900,+,2655368,2655379,Prosbeta4R2
396,chr2L,2665030,2665090,CG9879_1,900,+,2665079,2665090,CG9879
397,chr2L,2670961,2671021,Gr23a_1,900,+,2671010,2671021,Gr23a
398,chr2L,2677684,2677744,CG31690_1,900,+,2677733,2677744,CG31690
399,chr2L,2696426,2696486,CG15398_1,900,-,2696426,2696437,CG15398
406,chr2L,2744943,2745003,CG9961_1,900,-,2744943,2744954,CG9961
407,chr2L,2745055,2745115,Cwc25_1,900,+,2745104,2745115,Cwc25
410,chr2L,2752357,2752417,Bacc_1,900,+,2752406,2752417,Bacc
414,chr2L,2759643,2759703,CG32951_1,900,-,2759643,2759654,CG32951
415,chr2L,2759913,2759973,Trn-SR_1,900,+,2759962,2759973,Trn-SR
416,chr2L,2765571,2765631,CG3077_1,900,-,2765571,2765582,CG3077
417,chr2L,2766189,2766249,aph-1_1,900,+,2766238,2766249,aph-1
418,chr2L,2767790,2767850,Taf10b_1,900,-,2767790,2767801,Taf10b
419,chr2L,2767863,2767923,Taf10_1,900,+,2767912,2767923,Taf10
420,chr2L,2770021,2770081,colt_1,900,-,2770021,2770032,colt
423,chr2L,2771785,2771845,CG15399_1,900,-,2771785,2771796,CG15399
428,chr2L,2812398,2812458,CG2964_1,900,+,2812447,2812458,CG2964
429,chr2L,2815708,2815768,G6P_1,900,-,2815708,2815719,G6P
430,chr2L,2825508,2825568,CG3123_1,900,-,2825508,2825519,CG3123
431,chr2L,2830236,2830296,Duox_1,900,-,2830236,2830247,Duox
432,chr2L,2837820,2837880,CG3119_1,900,-,2837820,2837831,CG3119
433,chr2L,2838364,2838424,Cpr23B_1,900,+,2838413,2838424,Cpr23B
434,chr2L,2840042,2840102,CG2975_1,900,+,2840091,2840102,CG2975
435,chr2L,2844511,2844571,CG18558_1,900,-,2844511,2844522,CG18558
436,chr2L,2845727,2845787,CG18557_1,900,-,2845727,2845738,CG18557
437,chr2L,2847215,2847275,CG3117_1,900,-,2847215,2847226,CG3117
438,chr2L,2847576,2847636,CG2983_1,900,+,2847625,2847636,CG2983
441,chr2L,2856067,2856127,CG2986_1,900,+,2856116,2856127,CG2986
444,chr2L,2869587,2869647,CG8813_1,900,+,2869636,2869647,CG8813
447,chr2L,2874841,2874901,CG8814_1,900,+,2874890,2874901,CG8814
448,chr2L,2878216,2878276,Prx6005_1,900,-,2878216,2878227,Prx6005
451,chr2L,2879086,2879146,betaggt-II_1,900,+,2879135,2879146,betaggt-II
461,chr2L,2969609,2969669,Ts_1,900,-,2969609,2969620,Ts
462,chr2L,2972428,2972488,Rrp1_1,900,-,2972428,2972439,Rrp1
463,chr2L,2972846,2972906,gammaTub23C_1,900,+,2972895,2972906,gammaTub23C
464,chr2L,2976848,2976908,CG9641_1,900,-,2976848,2976859,CG9641
465,chr2L,2977078,2977138,CG3165_1,900,+,2977127,2977138,CG3165
466,chr2L,2979258,2979318,CG9643_1,900,-,2979258,2979269,CG9643
469,chr2L,2988078,2988138,Bem46_1,900,+,2988127,2988138,Bem46
470,chr2L,2992736,2992796,okr_1,900,-,2992736,2992747,okr
471,chr2L,2992944,2993004,CG3558_1,900,+,2992993,2993004,CG3558
472,chr2L,2999236,2999296,CG17265_1,900,+,2999285,2999296,CG17265
475,chr2L,3018484,3018544,CG17264_1,900,+,3018533,3018544,CG17264
476,chr2L,3023122,3023182,alpha4GT1_1,900,-,3023122,3023133,alpha4GT1
477,chr2L,3023182,3023242,CG3542_1,900,+,3023231,3023242,CG3542
478,chr2L,3029131,3029191,CG3605_1,900,-,3029131,3029142,CG3605
479,chr2L,3029207,3029267,CG17219_1,900,+,3029256,3029267,CG17219
480,chr2L,3030500,3030560,GABPI_1,900,+,3030549,3030560,GABPI
481,chr2L,3035304,3035364,CG17258_1,900,-,3035304,3035315,CG17258
483,chr2L,3037211,3037271,CG17259_1,900,-,3037211,3037222,CG17259
485,chr2L,3039818,3039878,cnir_1,900,-,3039818,3039829,cnir
490,chr2L,3043900,3043960,v(2)k05816_1,900,+,3043949,3043960,v(2)k05816
498,chr2L,3109618,3109678,PpD6_1,900,+,3109667,3109678,PpD6
500,chr2L,3128618,3128678,CG15403_1,900,+,3128667,3128678,CG15403
502,chr2L,3145693,3145753,CG12400_1,900,-,3145693,3145704,CG12400
505,chr2L,3159909,3159969,gkt_1,900,+,3159958,3159969,gkt
506,chr2L,3163600,3163660,Hydr2_1,900,+,3163649,3163660,Hydr2
507,chr2L,3171086,3171146,CG44002_1,900,-,3171086,3171097,CG44002
508,chr2L,3173833,3173893,CG31698_1,900,-,3173833,3173844,CG31698
509,chr2L,3173924,3173984,CG15404_1,900,+,3173973,3173984,CG15404
510,chr2L,3199692,3199752,CG34393_1,900,-,3199692,3199703,CG34393
511,chr2L,3269719,3269779,CG3347_1,900,+,3269768,3269779,CG3347
514,chr2L,3294694,3294754,CG9664_1,900,-,3294694,3294705,CG9664
515,chr2L,3303118,3303178,CG9663_1,900,-,3303118,3303129,CG9663
516,chr2L,3304033,3304093,CG3277_1,900,+,3304082,3304093,CG3277
517,chr2L,3309145,3309205,CG15406_1,900,+,3309194,3309205,CG15406
518,chr2L,3319880,3319940,CG3326_1,900,-,3319880,3319891,CG3326
519,chr2L,3320180,3320240,CG8837_1,900,+,3320229,3320240,CG8837
520,chr2L,3324197,3324257,CG33281_1,900,+,3324246,3324257,CG33281
521,chr2L,3327840,3327900,CG33282_1,900,+,3327889,3327900,CG33282
522,chr2L,3330890,3330950,CG3285_1,900,+,3330939,3330950,CG3285
523,chr2L,3332764,3332824,CG15408_1,900,+,3332813,3332824,CG15408
524,chr2L,3354818,3354878,E23_1,900,-,3354818,3354829,E23
525,chr2L,3357595,3357655,CG8838_1,900,+,3357644,3357655,CG8838
530,chr2L,3375716,3375776,CG15412_1,900,-,3375716,3375727,CG15412
531,chr2L,3376716,3376776,CG9662_1,900,-,3376716,3376727,CG9662
532,chr2L,3376956,3377016,Ptpa_1,900,+,3377005,3377016,Ptpa
533,chr2L,3387716,3387776,Sfp23F_1,900,-,3387716,3387727,Sfp23F
534,chr2L,3388445,3388505,CG42460_1,900,-,3388445,3388456,CG42460
535,chr2L,3397993,3398053,CG34175_1,900,+,3398042,3398053,CG34175
536,chr2L,3410535,3410595,CG8840_1,900,+,3410584,3410595,CG8840
537,chr2L,3416630,3416690,CG31952_1,900,+,3416679,3416690,CG31952
540,chr2L,3445948,3446008,CG2772_1,900,+,3445997,3446008,CG2772
541,chr2L,3449657,3449717,Snx1_1,900,+,3449706,3449717,Snx1
542,chr2L,3452425,3452485,CG12795_1,900,+,3452474,3452485,CG12795
543,chr2L,3457030,3457090,Cog3_1,900,-,3457030,3457041,Cog3
544,chr2L,3457289,3457349,Sec5_1,900,+,3457338,3457349,Sec5
545,chr2L,3461930,3461990,CG3246_1,900,-,3461930,3461941,CG3246
546,chr2L,3466083,3466143,msl-2_1,900,-,3466083,3466094,msl-2
547,chr2L,3469982,3470042,CG3238_1,900,-,3469982,3469993,CG3238
548,chr2L,3470104,3470164,CG31776_1,900,+,3470153,3470164,CG31776
551,chr2L,3478384,3478444,Thor_1,900,+,3478433,3478444,Thor
552,chr2L,3491055,3491115,CG15414_1,900,-,3491055,3491066,CG15414
555,chr2L,3510089,3510149,CG31954_1,900,-,3510089,3510100,CG31954
556,chr2L,3514632,3514692,CG33123_1,900,-,3514632,3514643,CG33123
557,chr2L,3514827,3514887,CG17593_1,900,+,3514876,3514887,CG17593
558,chr2L,3519653,3519713,CG3213_1,900,-,3519653,3519664,CG3213
559,chr2L,3520211,3520271,CG8851_1,900,+,3520260,3520271,CG8851
560,chr2L,3524021,3524081,Sr-CIV_1,900,-,3524021,3524032,Sr-CIV
561,chr2L,3525083,3525143,CG8852_1,900,+,3525132,3525143,CG8852
562,chr2L,3530339,3530399,Spindly_1,900,-,3530339,3530350,Spindly
563,chr2L,3530805,3530865,Che-13_1,900,+,3530854,3530865,Che-13
566,chr2L,3580755,3580815,sob_1,900,-,3580755,3580766,sob
567,chr2L,3606737,3606797,odd_1,900,-,3606737,3606748,odd
570,chr2L,3621642,3621702,CG15418_1,900,-,3621642,3621653,CG15418
571,chr2L,3632141,3632201,KGP3_1,900,-,3632141,3632152,KGP3
574,chr2L,3662670,3662730,CG34340_1,900,+,3662719,3662730,CG34340
575,chr2L,3668540,3668600,Sfp24Ba_1,900,-,3668540,3668551,Sfp24Ba
576,chr2L,3669143,3669203,CG42463_1,900,-,3669143,3669154,CG42463
